ld	start	end
chr21_7000001_10000001.npz	7000001	9000001
chr21_8000001_11000001.npz	9000001	10000001
chr21_9000001_12000001.npz	10000001	11000001
chr21_10000001_13000001.npz	11000001	12000001
chr21_11000001_14000001.npz	12000001	13000001
chr21_12000001_15000001.npz	13000001	14000001
chr21_13000001_16000001.npz	14000001	15000001
chr21_14000001_17000001.npz	15000001	16000001
chr21_15000001_18000001.npz	16000001	17000001
chr21_16000001_19000001.npz	17000001	18000001
chr21_17000001_20000001.npz	18000001	19000001
chr21_18000001_21000001.npz	19000001	20000001
chr21_19000001_22000001.npz	20000001	21000001
chr21_20000001_23000001.npz	21000001	22000001
chr21_21000001_24000001.npz	22000001	23000001
chr21_22000001_25000001.npz	23000001	24000001
chr21_23000001_26000001.npz	24000001	25000001
chr21_24000001_27000001.npz	25000001	26000001
chr21_25000001_28000001.npz	26000001	27000001
chr21_26000001_29000001.npz	27000001	28000001
chr21_27000001_30000001.npz	28000001	29000001
chr21_28000001_31000001.npz	29000001	30000001
chr21_29000001_32000001.npz	30000001	31000001
chr21_30000001_33000001.npz	31000001	32000001
chr21_31000001_34000001.npz	32000001	33000001
chr21_32000001_35000001.npz	33000001	34000001
chr21_33000001_36000001.npz	34000001	35000001
chr21_34000001_37000001.npz	35000001	36000001
chr21_35000001_38000001.npz	36000001	37000001
chr21_36000001_39000001.npz	37000001	38000001
chr21_37000001_40000001.npz	38000001	39000001
chr21_38000001_41000001.npz	39000001	40000001
chr21_39000001_42000001.npz	40000001	41000001
chr21_40000001_43000001.npz	41000001	42000001
chr21_41000001_44000001.npz	42000001	43000001
chr21_42000001_45000001.npz	43000001	44000001
chr21_43000001_46000001.npz	44000001	45000001
chr21_44000001_47000001.npz	45000001	46000001
chr21_45000001_48000001.npz	46000001	47000001
chr21_46000001_49000001.npz	47000001	48000001
chr21_47000001_50000001.npz	48000001	49000001
chr21_48000001_51000001.npz	49000001	51000001
