ld	start	end
chr6_1_3000001.npz	1	2000001
chr6_1000001_4000001.npz	2000001	3000001
chr6_2000001_5000001.npz	3000001	4000001
chr6_3000001_6000001.npz	4000001	5000001
chr6_4000001_7000001.npz	5000001	6000001
chr6_5000001_8000001.npz	6000001	7000001
chr6_6000001_9000001.npz	7000001	8000001
chr6_7000001_10000001.npz	8000001	9000001
chr6_8000001_11000001.npz	9000001	10000001
chr6_9000001_12000001.npz	10000001	11000001
chr6_10000001_13000001.npz	11000001	12000001
chr6_11000001_14000001.npz	12000001	13000001
chr6_12000001_15000001.npz	13000001	14000001
chr6_13000001_16000001.npz	14000001	15000001
chr6_14000001_17000001.npz	15000001	16000001
chr6_15000001_18000001.npz	16000001	17000001
chr6_16000001_19000001.npz	17000001	18000001
chr6_17000001_20000001.npz	18000001	19000001
chr6_18000001_21000001.npz	19000001	20000001
chr6_19000001_22000001.npz	20000001	21000001
chr6_20000001_23000001.npz	21000001	22000001
chr6_21000001_24000001.npz	22000001	23000001
chr6_22000001_25000001.npz	23000001	24000001
chr6_23000001_26000001.npz	24000001	25000001
chr6_24000001_27000001.npz	25000001	26000001
chr6_25000001_28000001.npz	26000001	27000001
chr6_26000001_29000001.npz	27000001	28000001
chr6_27000001_30000001.npz	28000001	29000001
chr6_31000001_34000001.npz	32000001	33000001
chr6_32000001_35000001.npz	33000001	34000001
chr6_33000001_36000001.npz	34000001	35000001
chr6_34000001_37000001.npz	35000001	36000001
chr6_35000001_38000001.npz	36000001	37000001
chr6_36000001_39000001.npz	37000001	38000001
chr6_37000001_40000001.npz	38000001	39000001
chr6_38000001_41000001.npz	39000001	40000001
chr6_39000001_42000001.npz	40000001	41000001
chr6_40000001_43000001.npz	41000001	42000001
chr6_41000001_44000001.npz	42000001	43000001
chr6_42000001_45000001.npz	43000001	44000001
chr6_43000001_46000001.npz	44000001	45000001
chr6_44000001_47000001.npz	45000001	46000001
chr6_45000001_48000001.npz	46000001	47000001
chr6_46000001_49000001.npz	47000001	48000001
chr6_47000001_50000001.npz	48000001	49000001
chr6_48000001_51000001.npz	49000001	50000001
chr6_49000001_52000001.npz	50000001	51000001
chr6_50000001_53000001.npz	51000001	52000001
chr6_51000001_54000001.npz	52000001	53000001
chr6_52000001_55000001.npz	53000001	54000001
chr6_53000001_56000001.npz	54000001	55000001
chr6_54000001_57000001.npz	55000001	56000001
chr6_55000001_58000001.npz	56000001	57000001
chr6_56000001_59000001.npz	57000001	58000001
chr6_57000001_60000001.npz	58000001	59000001
chr6_58000001_61000001.npz	59000001	60000001
chr6_59000001_62000001.npz	60000001	61000001
chr6_60000001_63000001.npz	61000001	62000001
chr6_61000001_64000001.npz	62000001	63000001
chr6_62000001_65000001.npz	63000001	64000001
chr6_63000001_66000001.npz	64000001	65000001
chr6_64000001_67000001.npz	65000001	66000001
chr6_65000001_68000001.npz	66000001	67000001
chr6_66000001_69000001.npz	67000001	68000001
chr6_67000001_70000001.npz	68000001	69000001
chr6_68000001_71000001.npz	69000001	70000001
chr6_69000001_72000001.npz	70000001	71000001
chr6_70000001_73000001.npz	71000001	72000001
