ld	start	end
chr12_1_3000001.npz	1	2000001
chr12_1000001_4000001.npz	2000001	3000001
chr12_2000001_5000001.npz	3000001	4000001
chr12_3000001_6000001.npz	4000001	5000001
chr12_4000001_7000001.npz	5000001	6000001
chr12_5000001_8000001.npz	6000001	7000001
chr12_6000001_9000001.npz	7000001	8000001
chr12_7000001_10000001.npz	8000001	9000001
chr12_8000001_11000001.npz	9000001	10000001
chr12_9000001_12000001.npz	10000001	11000001
chr12_10000001_13000001.npz	11000001	12000001
chr12_11000001_14000001.npz	12000001	13000001
chr12_12000001_15000001.npz	13000001	14000001
chr12_13000001_16000001.npz	14000001	15000001
chr12_14000001_17000001.npz	15000001	16000001
chr12_15000001_18000001.npz	16000001	17000001
chr12_16000001_19000001.npz	17000001	18000001
chr12_17000001_20000001.npz	18000001	19000001
chr12_18000001_21000001.npz	19000001	20000001
chr12_19000001_22000001.npz	20000001	21000001
chr12_20000001_23000001.npz	21000001	22000001
chr12_21000001_24000001.npz	22000001	23000001
chr12_22000001_25000001.npz	23000001	24000001
chr12_23000001_26000001.npz	24000001	25000001
chr12_24000001_27000001.npz	25000001	26000001
chr12_25000001_28000001.npz	26000001	27000001
chr12_26000001_29000001.npz	27000001	28000001
chr12_27000001_30000001.npz	28000001	29000001
chr12_28000001_31000001.npz	29000001	30000001
chr12_29000001_32000001.npz	30000001	31000001
chr12_30000001_33000001.npz	31000001	32000001
chr12_31000001_34000001.npz	32000001	33000001
chr12_32000001_35000001.npz	33000001	34000001
chr12_33000001_36000001.npz	34000001	35000001
chr12_34000001_37000001.npz	35000001	36000001
chr12_35000001_38000001.npz	36000001	37000001
chr12_36000001_39000001.npz	37000001	38000001
chr12_37000001_40000001.npz	38000001	39000001
chr12_38000001_41000001.npz	39000001	40000001
chr12_39000001_42000001.npz	40000001	41000001
chr12_40000001_43000001.npz	41000001	42000001
chr12_41000001_44000001.npz	42000001	43000001
chr12_42000001_45000001.npz	43000001	44000001
chr12_43000001_46000001.npz	44000001	45000001
chr12_44000001_47000001.npz	45000001	46000001
chr12_45000001_48000001.npz	46000001	47000001
chr12_46000001_49000001.npz	47000001	48000001
chr12_47000001_50000001.npz	48000001	49000001
chr12_48000001_51000001.npz	49000001	50000001
chr12_49000001_52000001.npz	50000001	51000001
chr12_50000001_53000001.npz	51000001	52000001
chr12_51000001_54000001.npz	52000001	53000001
chr12_52000001_55000001.npz	53000001	54000001
chr12_53000001_56000001.npz	54000001	55000001
chr12_54000001_57000001.npz	55000001	56000001
chr12_55000001_58000001.npz	56000001	57000001
chr12_56000001_59000001.npz	57000001	58000001
chr12_57000001_60000001.npz	58000001	59000001
chr12_58000001_61000001.npz	59000001	60000001
chr12_59000001_62000001.npz	60000001	61000001
chr12_60000001_63000001.npz	61000001	62000001
chr12_61000001_64000001.npz	62000001	63000001
chr12_62000001_65000001.npz	63000001	64000001
chr12_63000001_66000001.npz	64000001	65000001
chr12_64000001_67000001.npz	65000001	66000001
chr12_65000001_68000001.npz	66000001	67000001
chr12_66000001_69000001.npz	67000001	68000001
chr12_67000001_70000001.npz	68000001	69000001
chr12_68000001_71000001.npz	69000001	70000001
chr12_69000001_72000001.npz	70000001	71000001
chr12_70000001_73000001.npz	71000001	72000001
chr12_71000001_74000001.npz	72000001	73000001
chr12_72000001_75000001.npz	73000001	74000001
chr12_73000001_76000001.npz	74000001	75000001
chr12_74000001_77000001.npz	75000001	76000001
chr12_75000001_78000001.npz	76000001	77000001
chr12_76000001_79000001.npz	77000001	78000001
chr12_77000001_80000001.npz	78000001	79000001
chr12_78000001_81000001.npz	79000001	80000001
chr12_79000001_82000001.npz	80000001	81000001
chr12_80000001_83000001.npz	81000001	82000001
chr12_81000001_84000001.npz	82000001	83000001
chr12_82000001_85000001.npz	83000001	84000001
chr12_83000001_86000001.npz	84000001	85000001
chr12_84000001_87000001.npz	85000001	86000001
chr12_85000001_88000001.npz	86000001	87000001
chr12_86000001_89000001.npz	87000001	88000001
chr12_87000001_90000001.npz	88000001	89000001
chr12_88000001_91000001.npz	89000001	90000001
chr12_89000001_92000001.npz	90000001	91000001
chr12_90000001_93000001.npz	91000001	92000001
chr12_91000001_94000001.npz	92000001	93000001
chr12_92000001_95000001.npz	93000001	94000001
chr12_93000001_96000001.npz	94000001	95000001
chr12_94000001_97000001.npz	95000001	96000001
chr12_95000001_98000001.npz	96000001	97000001
chr12_96000001_99000001.npz	97000001	98000001
chr12_97000001_100000001.npz	98000001	99000001
chr12_98000001_101000001.npz	99000001	100000001
chr12_99000001_102000001.npz	100000001	101000001
chr12_100000001_103000001.npz	101000001	102000001
chr12_101000001_104000001.npz	102000001	103000001
chr12_102000001_105000001.npz	103000001	104000001
chr12_103000001_106000001.npz	104000001	105000001
chr12_104000001_107000001.npz	105000001	106000001
chr12_105000001_108000001.npz	106000001	107000001
chr12_106000001_109000001.npz	107000001	108000001
chr12_107000001_110000001.npz	108000001	109000001
chr12_108000001_111000001.npz	109000001	110000001
chr12_109000001_112000001.npz	110000001	111000001
chr12_110000001_113000001.npz	111000001	112000001
chr12_111000001_114000001.npz	112000001	113000001
chr12_112000001_115000001.npz	113000001	114000001
chr12_113000001_116000001.npz	114000001	115000001
chr12_114000001_117000001.npz	115000001	116000001
chr12_115000001_118000001.npz	116000001	117000001
